Judul,Gambar,Bahan,Langkah
Sup Clean Eating,https://img-global.cpcdn.com/recipes/d7b6769a606fcff6/240x340cq50/sup-clean-eating-foto-resep-utama.webp,"8 bh ceker yg sdh direbus empuk; 100 gr kerang dara yg sdh direbus dan pisahkan dari cangkangnya; 2 bh jagung, disisir; 2 bh wortel, potong bulat; 4 bh tomat, potong serasi; 2 btg daun bawang, iris; 1,5 lt air; 1 sdt merica bubuk; 1 sdm garam himalaya","1 Siapkan bahan-bahan [Gambar: https://img-global.cpcdn.com/steps/f7b7cb3fbf182cbb/160x128cq70/sup-clean-eating-langkah-memasak-1-foto.jpg] | 2 Rebus wortel dan jagung hingga mendidih. [Gambar: https://img-global.cpcdn.com/steps/2f2f318b3ada47b9/160x128cq70/sup-clean-eating-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/7be57bceff637c80/160x128cq70/sup-clean-eating-langkah-memasak-2-foto.jpg] | 3 Masukkan ceker biarkan mendidih kembali. Tambahkan tomat dan kerang dara. Biarkan mendidih [Gambar: https://img-global.cpcdn.com/steps/7f7daaee89dbdee3/160x128cq70/sup-clean-eating-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/b178f73431bfa467/160x128cq70/sup-clean-eating-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/6684059ae5b54f81/160x128cq70/sup-clean-eating-langkah-memasak-3-foto.jpg] | 4 Matikan kompor. Masukkan merica dan garam, aduk taburkan daun bawang dan sajikan hangat [Gambar: https://img-global.cpcdn.com/steps/2294b8241f30e498/160x128cq70/sup-clean-eating-langkah-memasak-4-foto.jpg]"
Grilled Fillet Chicken With Rainbow Veggi (Menu Diet/Eat Clean),https://img-global.cpcdn.com/recipes/295d2af190a71bbe/240x340cq50/grilled-fillet-chicken-with-rainbow-veggi-menu-dieteat-clean-foto-resep-utama.webp,"500 gram ayam fillet (sy pake paha biar lebih juicy); 1/2 Kg sayuran frozen (saya pakai buncis, polong, wortel, jagung; 3 siung bawang putih; 1 sendok teh garam; secukupnya Merica","1 Potong ayam filet jadi 12 bagian, setelah itu haluskan bawang dengan garam dan merica | 2 Lumuri ayam dengan bumbu halus, diamkan minimal 15 menit | 3 Grill atau panggang atau oven atau kukus 2 potong ayam per 1x saji bersamaan dengan sayuran secukupnya (100gram/saji) Biarkan hingga matang, kalo saya pake grilled pan ±8-10 menit juga matang, lalu hidangkan dengan nasi putih/sirataki/kentang yang di grill bersamaan Notes: Tidak perlu tambahan bumbu Tidak perlu tambahan minyak [Gambar: https://img-global.cpcdn.com/steps/7dfea9454373cf81/160x128cq70/grilled-fillet-chicken-with-rainbow-veggi-menu-dieteat-clean-langkah-memasak-3-foto.jpg]"
Tumis Ayam Brokoli / Chicken Broccoli,https://img-global.cpcdn.com/recipes/4e31f1af68b1bfe3/240x340cq50/tumis-ayam-brokoli-chicken-broccoli-foto-resep-utama.webp,"300 gr Bunga Brokoli; 300 gr Ayam Fillet (Potong Tipis / Potong Dadu Sesuai Selera Aja); Jamur Kancing Kaleng (Kalau Mau Bener2x Clean, Pake Yang Fresh); 1 Batang Daun Bawang; 3 Siung Bawang Putih (Cincang); Bahan Saus; 2.5 Sdm Saus Tiram; 1 Sdm Kecap Asin; 80 ml Air; 1 Sdt Kaldu Ayam Bubuk; 1 Sdt Gula / 1 Sachet Gula Diabetasol; 1 Sdt Lada Putih Bubuk; 1 Sdt Maizena","1 Panaskan Air untuk Rebus Brokolinya, Kalau airnya sudah panas, langsung aja rebus Brokolinya, sebentar aja ya Guys, sekitar 30 - 40 Detik, Kalau kelamaan Brokolinya nanti jadi kelembekan dan Nutrisinya rusak. Kalau sudah langsung aja pindahkan ke Air Es supaya proses masaknya berhenti dan warna Brokolinya akan tetap hijau dan segar... | 2 Sebelum memasak, Campurkan semua bahan saus kedalam satu wadah, aduk rata sampai gulanya larut, proses ini memudahkan kita dalam memasak jenis masakan seperti ini, jadi ga perlu masukin bahan satu persatu ketika masak... | 3 Sekarang panaskan sedikit minyak (Kalau mau yang benar2x Clean, Pakai Olive Oil / Canolla Oil), kemudian tumis bawang putih sampai harum, lalu masukan Jamurnya, Tumis Jamurnya kurang lebih 3 menit, lalu masukan ayamnya, masak ayamnya sampai matang dan berubah warna... | 4 Kalau ayamnya sudah matang, masukan saus yang tadi sudah kita campur, masak sausnya bersama Ayam dan Jamur sampai sausnya mengental, Kemudian matikan apinya... | 5 Sekarang masukan kembali brokolinya, aduk2x rata sampai rata dengan Ayam, Jamur dan Sausnya, kemudian taburkan daun bawang lalu aduk rata lagi, dan Chicken Broccolinya siap untuk disajikan... | 6 Semoga Suka Sama Resepnya ya... Untuk Yang Recook di Instagram Jgn Lupa Hashtag #ResepDariWonderland atau Langsung aja Tag ke @dapurdiwonderland | 7 Makasih... Selamat Mencoba... 😁😁"
Udang Lemon Bawang Putih (Eating Clean),https://img-global.cpcdn.com/recipes/010788baf91bdd9b/240x340cq50/udang-lemon-bawang-putih-eating-clean-foto-resep-utama.webp,"300 gr udang, bersihkan, kucuri garam dan jeruk nipis; 1 batang peterseli; 7 siung bawang putih; 2 sdm air lemon; secukupnya Garam himalaya; Merica hitam","1 Bersihan udang, kucuri air jeruk nipis dan garam [Gambar: https://img-global.cpcdn.com/steps/53d578265d8fc5d1/160x128cq70/udang-lemon-bawang-putih-eating-clean-langkah-memasak-1-foto.jpg] | 2 Panaskan oven, susun udang di loyang yg sudah dilapisi aluminium foil dan minyak. [Gambar: https://img-global.cpcdn.com/steps/d09090457052f234/160x128cq70/udang-lemon-bawang-putih-eating-clean-langkah-memasak-2-foto.jpg] | 3 Masak 6 menit, lalu balik sisinya. Masak smpai berubah warna orange. [Gambar: https://img-global.cpcdn.com/steps/ef1fa0ee37c8b0e3/160x128cq70/udang-lemon-bawang-putih-eating-clean-langkah-memasak-3-foto.jpg] | 4 Tumis bawang putih smpai harum, lalu masukkan merica hitam. Aduk sbntar lalu masukkan udang. [Gambar: https://img-global.cpcdn.com/steps/969af5c6fc68a4ac/160x128cq70/udang-lemon-bawang-putih-eating-clean-langkah-memasak-4-foto.jpg] | 5 Aduk kmbali. Terakhir tambahkan garam, lemon, dan taburi peterseli. Tes rasa. Siap dihidangkan [Gambar: https://img-global.cpcdn.com/steps/e7254f97830a1235/160x128cq70/udang-lemon-bawang-putih-eating-clean-langkah-memasak-5-foto.jpg]"
Ikan Gurame Fillet Masak Bawang Putih (Eat Clean),https://img-global.cpcdn.com/recipes/dbe1c653f347deb9/240x340cq50/ikan-gurame-fillet-masak-bawang-putih-eat-clean-foto-resep-utama.webp,1 ekor gurame di fillet ambil daging cincang kasar; 1 sdm ketumbar bubuk; 1 sdt garam; 1 sdt lada bubuk; 1 siung bawang putih geprek; 1 sdm minyak sayur; 1 ruas daun bawang cincang halus untuk taburan,"1 Campur lada, ketumbar, dan garam dalam ikan cincang marinasi selama 5 menit | 2 Panaskan minyak sayur | 3 Oseng bawang putih, kemudian masukkan ikan yang sudah dimarinasi | 4 Oseng semua sampai matang merata | 5 Ikan Gurame Fillet masak bawang putih siap dinikmati. Selamat mencoba"
Clean Eating Aini'Cooking #26,https://img-global.cpcdn.com/recipes/28dcac3c30d31a6e/240x340cq50/clean-eating-ainicooking-26-foto-resep-utama.webp,10 slice beef; 1 bungkus jamur enoki; secukupnya Saus bbq korean delmonte; 1 buah wortel kecil; 1 bonggol brokoli hijau; Bumbu potong untuk tumis; 2 Bawang merah; 2 bawang putih; 1/4 bawanng bombay; 1 buah tomat,"1 Siapkan semua bahan lalu potong dan cuci bersih. | 2 Siapkan jamur enoki, cuci bersih potong akarnya. Lalu bagi menjadi beberapa bagian. Kemudian gulung dengan beef. | 3 Panaskan wajan tumis bamer,baput, bombay, cabai dan tomat tanpa minyak. | 4 Masukkan beef gulung enoki, tambahkan sedikit air. Masukkan saus korean bbq delmonte secukupnya. Aduk rata secara perlahan. | 5 Masukkan wortel dan brokoli. | 6 Masak hingga matang. | 7 Koreksi rasa. | 8 Sajikan. [Gambar: https://img-global.cpcdn.com/steps/fa8b7ef8ecd1bff7/160x128cq70/clean-eating-ainicooking-26-langkah-memasak-8-foto.jpg, https://img-global.cpcdn.com/steps/807069d9a94fb943/160x128cq70/clean-eating-ainicooking-26-langkah-memasak-8-foto.jpg, https://img-global.cpcdn.com/steps/afc8e56e19ec2f11/160x128cq70/clean-eating-ainicooking-26-langkah-memasak-8-foto.jpg]"
Soto Ayam Bening + Sambal Soto (Clean Eating Diet),https://img-global.cpcdn.com/recipes/ec26569860e2453b/240x340cq50/soto-ayam-bening-sambal-soto-clean-eating-diet-foto-resep-utama.webp,"Bahan Isian; 300 gram dada ayam fillet; 10 buah ceker ayam; Secukupnya toge yang sudah dibersihkan; Secukupnya kol yang sudah diiris tipis; Secukupnya jeruk lemon; Secukupnya daun bawang, cincang halus; Secukupnya seledri, cincang halus; Secukupnya bawang goreng (bisa di skip); Secukupnya keripik kentang (bisa di skip); Bumbu-Bumbu; 1 ruas jari jahe digeprek (untuk membuat kaldu); 1 siung bawang putih geprek (untuk membuat kaldu); 1 batang serai disimpulkan (untuk membuat kaldu); 5 buah bawang merah; 3 siung bawang putih; 2 butir kemiri; 1 ruas jari kunyit; 1 sdt merica; 1 sdt ketumbar; 1 batang serai, geprek, lalu simpulkan; 2 lembar daun jeruk, sobek-sobek; 2 ruas jari lengkuas, geprek sampai penyet; 2 sdm butter/minyak goreng untuk menumis; Secukupnya gula dan garam; Secukupnya air; Bahan Sambal; 15 buah cabe rawit merah; 3 siung bawang putih; 2 buah kemiri","1 Didihkan 1 liter air, lalu masukkan ceker dan dada ayam fillet yang sudah dicuci bersih, jahe, bawang putih, dan serai. Rebus kembali dengan api kecil selama kurang lebih 30 menit. Saring, lalu sisihkan. | 2 Haluskan bawang merah, bawang putih, kemiri, kunyit, merica, dan ketumbar. | 3 Panaskan 2 sdm butter, lalu tumis bumbu halus, lengkuas, daun jeruk, dan sereh sampai benar-benar harum. Lalu tambahkan cairan kaldu dan air jika perlu. Masukkan gula dan garam, lalu cek rasa. Jika sudah OK, matikan api dan masukkan irisan seledri dan daun bawang. | 4 Untuk pembuatan sambal, kukus cabai, bawang, dan kemiri selama kurang lebih 10 menit. Lalu uleg sampai halus dan tambahkan garam. | 5 Untuk penyajian, suwir-suwir ayam fillet yang tadi sudah direbus. Digoreng juga boleh sih, tapi aku lebih suka direbus karena emang lagi pengen ngurangi konsumsi minyak. Selanjutnya, tata nasi/bihun di dasar piring/mangkok, tambahkan potongan kol, toge, suwiran ayam, keripik kentang, dan bawang goreng di atasnya. Lalu, siramkan kuah soto. | 6 Tambahkan perasan jeruk lemon, sambal, dan kecap manis jika suka. Soto bening segerrr super sehat tanpa micin siap menemani harimu yang dingin terguyur hujan. Hehehe"
Clean Eating Aini'Cooking #21,https://img-global.cpcdn.com/recipes/8c7b2ce7d556b7a6/240x340cq50/clean-eating-ainicooking-21-foto-resep-utama.webp,1/2 Buah wortel potong korek rebus 3 menit; 1/2 buah jagung sisir dari bonggolnya rebus 3 menit; 1/2 buah timun potong korek; 3 lembar kubis potong sesuai selera; secukupnya Kewpie wijen sangrai; Telor dadar; 1 butir telur; Secukupnya garam; Secukupnya lada bubuk; 2 buah cabai potong; 2 bawang merah cincang,"1 Siapkan semua bahan cuci bersih lalu potong dan rebus sesuai keterangan diatas. Tiriskan. | 2 Kocok lepas telur dengan semua bahan telur dadar. Kemudian goreng di wajan anti lengket tanpa minyak. | 3 Angkat lalu sajikan salad sayur dan telur dengan nasi. Tambahkan kewpie wijen shangrai diatas salad sayurnya. [Gambar: https://img-global.cpcdn.com/steps/d65e195c1dac56e9/160x128cq70/clean-eating-ainicooking-21-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/2654f05b5c040117/160x128cq70/clean-eating-ainicooking-21-langkah-memasak-3-foto.jpg]"
(Eat Clean Menu) Ikan Bakar + Sayur Bayam #ResepPertamaKu,https://img-global.cpcdn.com/recipes/b843fa7729bac62f/240x340cq50/eat-clean-menu-ikan-bakar-sayur-bayam-reseppertamaku-foto-resep-utama.webp,2 Potong Ikan Bakar Laut (saya pake tongkol); Secukupnya Garam; Secukupnya Merica; 1 Buah Bawang Putih; 1 Buah Jeruk Sambal; 1 Sdt Olive Oil; 2 Buah Tomat; Sayur Bayam; 1/2 Ikat Sayur Bayam; 2 Buah Bawang Putih; Secukupnya Air; Secukupnya Garam; Sambal Kecap; 3 Buah Cabe Rawit; 2 Sdt Kecap; 1/2 Potongan Tomat; 1 Buah Jeruk Sambal,"1 Cuci bersih ikan, kemudian lumuri garam, merica dan perasan jeruk sambal, diamkan selama 5menit. | 2 Sambil menunggu bumbu ikan meresap, daun bayam cuci bersih, tiriskan. Rebus Air dalam panci, masukan irisan bawang putih, tgg hingga mendidih. Masukkan sayur bayam, tunggu hingga layu. Masukkan garam, koreksi rasa. | 3 Siapkan teflon, oleskan Olive Oil, masukan ikan dan di grill/dibakar hingga matang. | 4 Sambil menunggu ikan matang, campurkan semua bahan sambal homemade, aduk rata | 5 Sajikan Ikan bersama Nasi Hitam, Sayur Bayam, Irisan Tomat dan Sambal Kecap [Gambar: https://img-global.cpcdn.com/steps/8d3269b9b55b5037/160x128cq70/eat-clean-menu-ikan-bakar-sayur-bayam-reseppertamaku-langkah-memasak-5-foto.jpg]"
Mediterranean Chicken Wraps (clean eat),https://img-global.cpcdn.com/recipes/e1971a19e6ed4ff4/240x340cq50/mediterranean-chicken-wraps-clean-eat-foto-resep-utama.webp,"1 lembar whole wheat tortilla wrap; 1 buah tomat; 1 potong dada ayam (dipotong kecil kecil); 1/4 buah bawang bombay; 1 sdt olive oil; 1 sdm hummus (cheese and truffle); Notes : Bisa ditambahkan sayur apapun seperti wortel, timun atau selada","1 Masak potongan dada ayam di pan dengan olive oil seperti di grill. Sampai warna ayam sedikit kecoklatan, angkat dan tiriskan. [Gambar: https://img-global.cpcdn.com/steps/34ce72830aa149d1/160x128cq70/mediterranean-chicken-wraps-clean-eat-langkah-memasak-1-foto.jpg] | 2 Siapkan 1 lembar tortilla wrap, oleskan hummus (karna lagi diet, hummus tuh enak banget dan sehat, bisa bikin sendiri tapi ini saya pakai merk Hummusandco yang Cheese and Truffle) [Gambar: https://img-global.cpcdn.com/steps/47991cd2758908ac/160x128cq70/mediterranean-chicken-wraps-clean-eat-langkah-memasak-2-foto.jpg] | 3 Susun semua bahan (sayur2an fresh dan ayam yang sudah di masak) diatas tortilla wrap di bagian tengah. [Gambar: https://img-global.cpcdn.com/steps/9c690ab0018cef39/160x128cq70/mediterranean-chicken-wraps-clean-eat-langkah-memasak-3-foto.jpg] | 4 Dibungkus dengan melipat bagian atas dan bawah sebelum di roll. [Gambar: https://img-global.cpcdn.com/steps/288843ea050cd217/160x128cq70/mediterranean-chicken-wraps-clean-eat-langkah-memasak-4-foto.jpg] | 5 Dipotong dua bagian biar lebih gampang dimakan, kalau susah bisa di tusuk dengan tusuk gigi agar wrap tidak goyang. Silahkan mencoba :) [Gambar: https://img-global.cpcdn.com/steps/afc47a6e2450e65d/160x128cq70/mediterranean-chicken-wraps-clean-eat-langkah-memasak-5-foto.jpg]"
