Judul,Gambar,Bahan,Langkah
Sup Ayam'ku (Menu Diet Sehat),https://img-global.cpcdn.com/recipes/4a55f1ea2d76eeb1/240x340cq50/sup-ayamku-menu-diet-sehat-foto-resep-utama.webp,350 gr Ayam cincang (utk protein); 200 gr Wortel Iris tipis (utk serat); 100 gr Kol potong besar (utk serat); 100 gr Buncis iris tipis (utk serat); Daun bawang dan seledri; Bawang putih; Bawang Bombai; Bawang merah; Kayu manis kapulaga cengkeh; Secukupnya Penyedap rasa; Secukupnya garam; Secukupnya merica bubuk,"1 Masukkan ayam kedalam panci rebus bersama dengan wortel, sebagian daun bawang, bawang bombai dan sebagian wortel [Gambar: https://img-global.cpcdn.com/steps/b2727f4723da36d8/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-1-foto.jpg, https://img-global.cpcdn.com/steps/890aae6de2d73f94/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-1-foto.jpg] | 2 Setelah lemak nya naik dan menggumpal keatas buang lemak nya dan lanjut masukan sebagian wortel nya masukan kapulaga, cengkeh, kayu manis.Aku tuh photo nya buru buru JD g sempat dapat hasil yg bagus 😅 JD jgn liat ini nya yh.. [Gambar: https://img-global.cpcdn.com/steps/2dc1ed19e04de642/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-2-foto.jpg] | 3 Setelah wortel setengah matang masukan kol dan buncis tambahkan sejumput garam dan sejumput penyedap rasa dan sejumput merica bubuk tambahkan irisan daun bawang dan seledri dan siap disantap 🤤🍲🍛🥣 hidangan ini cuma 1.139kcal utk 4porsi yh [Gambar: https://img-global.cpcdn.com/steps/2909ebc4fdbc01c1/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/974d2e4e01361c00/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/b9468ac120d21461/160x128cq70/sup-ayamku-menu-diet-sehat-langkah-memasak-3-foto.jpg]"
Es Krim tanpa Krim,https://img-global.cpcdn.com/recipes/d833f92f1bb23941/240x340cq50/es-krim-tanpa-krim-foto-resep-utama.webp,Bahan Pisang:; 6 bh pisang; 1 sdm madu; Sejumput garam; Bahan Coklat:; 6 bh pisang; 2 sdm bubuk coklat; 1 sdm madu; Sejumput garam,"1 Es krim pisang: campur semua bahan pisang dan blend sampai halus, sisihkan. [Gambar: https://img-global.cpcdn.com/steps/38be28f52faaef30/160x128cq70/es-krim-tanpa-krim-langkah-memasak-1-foto.jpg, https://img-global.cpcdn.com/steps/9aba71520f70cf2c/160x128cq70/es-krim-tanpa-krim-langkah-memasak-1-foto.jpg, https://img-global.cpcdn.com/steps/23a64f1f0a687078/160x128cq70/es-krim-tanpa-krim-langkah-memasak-1-foto.jpg] | 2 Es krim coklat: campur bahan coklat dan blend semua sampai halus, sisihkan. [Gambar: https://img-global.cpcdn.com/steps/b90d7d1051b598db/160x128cq70/es-krim-tanpa-krim-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/2f2f0fa4311b0996/160x128cq70/es-krim-tanpa-krim-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/c25588b34d4aaa8d/160x128cq70/es-krim-tanpa-krim-langkah-memasak-2-foto.jpg] | 3 Taruh 2 adonan berdampingan di satu wadah lalu masukkan ke freezer. [Gambar: https://img-global.cpcdn.com/steps/d71a155f1c18a24e/160x128cq70/es-krim-tanpa-krim-langkah-memasak-3-foto.jpg]"
Sambel Penyet (Diet Friendly),https://img-global.cpcdn.com/recipes/bcd6ddc964318ce7/240x340cq50/sambel-penyet-diet-friendly-foto-resep-utama.webp,1 siung bawang putih; 4 siung bawang merah; 2 buah cabai rawit; 1 sdt canola oil; 3 potong tempe; 1/2 buah terong; Sejumput garam rendah natrium; Sejumput kaldu jamur,"1 Cuci dan siapkan semua bahan. [Gambar: https://img-global.cpcdn.com/steps/1e4ac4ef5781da72/160x128cq70/sambel-penyet-diet-friendly-langkah-memasak-1-foto.jpg] | 2 Panaskan teflon dan beri sedikit canola oil (ratakan).Panggang semua bahan. | 3 Setelah matang, uleg bawang putih, bawang merah dan cabai rawit serta garam dan kaldu jamur. | 4 Masukkan tempe dan terong dan penyet bersama sambel. Siap untuk disajikan."
Strawberry Korean Milk Latte Rendah Kalori,https://img-global.cpcdn.com/recipes/8229217f8d3a383c/240x340cq50/strawberry-korean-milk-latte-rendah-kalori-foto-resep-utama.webp,100 gram strawberry; 3 sachet tropicana slim stevia; 200 ml skimmed milk (saya pakai merk greenfield); secukupnya Es batu,"1 Cuci bersih strawberry dan potong2 [Gambar: https://img-global.cpcdn.com/steps/aab692a5a1ff21a3/160x128cq70/strawberry-korean-milk-latte-rendah-kalori-langkah-memasak-1-foto.jpg] | 2 Masukkan strawberry ke dalam panci atau teflon, tambahkan tropicana slim stevia [Gambar: https://img-global.cpcdn.com/steps/590a85bb196c13eb/160x128cq70/strawberry-korean-milk-latte-rendah-kalori-langkah-memasak-2-foto.jpg] | 3 Masak sambil terus diaduk-aduk sampai tekstur berubah menjadi selai [Gambar: https://img-global.cpcdn.com/steps/8b0f74c0f0a87969/160x128cq70/strawberry-korean-milk-latte-rendah-kalori-langkah-memasak-3-foto.jpg] | 4 Tuang selai strawberry ke dalam gelas [Gambar: https://img-global.cpcdn.com/steps/47ba36a6879c37c0/160x128cq70/strawberry-korean-milk-latte-rendah-kalori-langkah-memasak-4-foto.jpg] | 5 Tuang skimmed milk ke dalam gelas dan siap dinikmati [Gambar: https://img-global.cpcdn.com/steps/82da2beff36e9c60/160x128cq70/strawberry-korean-milk-latte-rendah-kalori-langkah-memasak-5-foto.jpg]"
Diet Juice Apple Plum Carrot Kiwi Moringa,https://img-global.cpcdn.com/recipes/f940fc609d97eba5/240x340cq50/diet-juice-apple-plum-carrot-kiwi-moringa-foto-resep-utama.webp,1 buah apel (kupas kulit); 1 buah plum (buang biji); 1 buah wortel; 1 buah kiwi; 1 sdm bubuk daun kelor; 400 ml water kefir (bisa diganti dengan air mineral),1 Masukkan semua bahan ke blender [Gambar: https://img-global.cpcdn.com/steps/a64b8f289726685b/160x128cq70/diet-juice-apple-plum-carrot-kiwi-moringa-langkah-memasak-1-foto.jpg] | 2 Blender semua bahan dan siap dinikmati [Gambar: https://img-global.cpcdn.com/steps/df5b188ee6742a9b/160x128cq70/diet-juice-apple-plum-carrot-kiwi-moringa-langkah-memasak-2-foto.jpg]
Nasi jagung rice cooker,https://img-global.cpcdn.com/recipes/c792e44646c0877f/240x340cq50/nasi-jagung-rice-cooker-foto-resep-utama.webp,100 gram tepung jagung instan; secukupnya Air matang,"1 Rendam tepung jagung dengan air hangat selama 10 menit [Gambar: https://img-global.cpcdn.com/steps/578ad69ab514b126/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-1-foto.jpg, https://img-global.cpcdn.com/steps/9bdd046760bfca43/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-1-foto.jpg] | 2 Setelah 10 menit aduk rata,lalu tambahkan air secukupnya masak dalam rice cooker [Gambar: https://img-global.cpcdn.com/steps/953949293b3f6bba/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/fb18dacc5951c263/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-2-foto.jpg] | 3 Siap disajikan dengan sayur dan lauk sesuai selera [Gambar: https://img-global.cpcdn.com/steps/b0d233fd7cb38b06/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/a7d8f9faffeebf05/160x128cq70/nasi-jagung-rice-cooker-langkah-memasak-3-foto.jpg]"
"Menu Keto Diet, Salmon panggang dengan keju parmesan dan Mayonaise",https://img-global.cpcdn.com/recipes/8840b2088ee18651/240x340cq50/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-foto-resep-utama.webp,"110 gr Salmon filet (disini saya pakai 248 gr, sekalian buat makan malam 😅); 2 Sdm, Mayonaise (Merek apa aja ya); 1 siung bawang putih cincang halus; 2 Sdm, sendok makan keju parmesan; 2 tsp, Butter; Parsley (secukupnya) di Iris halus","1 Butter+Parmesan+ mayonnaise +parsley di aduk Jadi satu (Saya tidak punya parsley Jadi Saya ganti dengan basil dan juga Saya tambah kan sedikit lada) [Gambar: https://img-global.cpcdn.com/steps/e880886ff18f6687/160x128cq70/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-langkah-memasak-1-foto.jpg, https://img-global.cpcdn.com/steps/20ceb117fc57ff64/160x128cq70/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-langkah-memasak-1-foto.jpg] | 2 Nyala kan oven 180 derajat celsius [Gambar: https://img-global.cpcdn.com/steps/598560f719d907a1/160x128cq70/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-langkah-memasak-2-foto.jpg] | 3 Oleskan bahan yang tadi di campur ke atas salmon, lalu panggang selama 30 menit [Gambar: https://img-global.cpcdn.com/steps/4310b111df5742bd/160x128cq70/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-langkah-memasak-3-foto.jpg] | 4 Jadi deh! Sebagai teman nya Saya bikin rebusan daun bayam di tambah dengan minyak cabe. Selamat makan #cookpadcommunity 😋 [Gambar: https://img-global.cpcdn.com/steps/5795c2cbb4a6f862/160x128cq70/menu-keto-diet-salmon-panggang-dengan-keju-parmesan-dan-mayonaise-langkah-memasak-4-foto.jpg]"
Sambal ijo tanpa minyak,https://img-global.cpcdn.com/recipes/488adfb7aef22e58/240x340cq50/sambal-ijo-tanpa-minyak-foto-resep-utama.webp,100 g Cabai Rawit ijo; 3 Siung Bawang Putih; 1 sdt Garam Himalaya; 1 sdm Gula; 1 sdm Kaldu Jamur,"1 Rebus Cabai Rawit dan bawang putih [Gambar: https://img-global.cpcdn.com/steps/87864482f426adbc/160x128cq70/sambal-ijo-tanpa-minyak-langkah-memasak-1-foto.jpg] | 2 Ulek Cabai dan bawang putih serta tambahkan gula, garam dan kaldu jamur secukupnya cek terus rasa sesuai lidah kamu [Gambar: https://img-global.cpcdn.com/steps/ef5e4c303c933ab0/160x128cq70/sambal-ijo-tanpa-minyak-langkah-memasak-2-foto.jpg] | 3 Cabai Ijo Tanpa Minyak siap dimakan [Gambar: https://img-global.cpcdn.com/steps/4b3b47e0f93ec618/160x128cq70/sambal-ijo-tanpa-minyak-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/28a937cc3ce594b3/160x128cq70/sambal-ijo-tanpa-minyak-langkah-memasak-3-foto.jpg]"
Dimsum sehat tanpa tepung,https://img-global.cpcdn.com/recipes/c28530f076244398/240x340cq50/dimsum-sehat-tanpa-tepung-foto-resep-utama.webp,500 gr filet paha ayam; 250 gr udang; 3 labu Siam kecil; 4 bawang putih; 5 bawang merah; 2 sdm saos tiram; 3 sdm kecap ikan; 2 sdm kecap asin; 1 sdt lada; 1 sdm penyedap; 3-4 sdm gula; 1 sdt kaldu; lembar Nori; 1 putih telur,"1 Cuci ayam,dan udang buang kulit nya [Gambar: https://img-global.cpcdn.com/steps/0fd09e47f7b99b2e/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-1-foto.jpg] | 2 Iris daun bawang,goreng bawang dan parut labu lalu peras airnya [Gambar: https://img-global.cpcdn.com/steps/cc1fc038a1b2697d/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/ab950721a924145f/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-2-foto.jpg, https://img-global.cpcdn.com/steps/cf6d7edb9be030a2/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-2-foto.jpg] | 3 Masukkan bawang,ayam dan putih telur lalu Chopper [Gambar: https://img-global.cpcdn.com/steps/0591284c3c50db1e/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/d6cae01fcc5b72e6/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-3-foto.jpg, https://img-global.cpcdn.com/steps/da75b0482fc2f3a6/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-3-foto.jpg] | 4 Masukkan labu,daun bawang [Gambar: https://img-global.cpcdn.com/steps/7813183c284ba8fd/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-4-foto.jpg, https://img-global.cpcdn.com/steps/696e7595ccd3c714/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-4-foto.jpg, https://img-global.cpcdn.com/steps/22779abe88c6ddd3/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-4-foto.jpg] | 5 Masukkan kecap ikan,saos tiram,lada [Gambar: https://img-global.cpcdn.com/steps/391e8c6141256044/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-5-foto.jpg, https://img-global.cpcdn.com/steps/8c9410ea7687cc47/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-5-foto.jpg, https://img-global.cpcdn.com/steps/836c120046f53e6e/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-5-foto.jpg] | 6 Masukkan gula,kaldu dan nutri gel [Gambar: https://img-global.cpcdn.com/steps/2584754709aaf606/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-6-foto.jpg, https://img-global.cpcdn.com/steps/eacf38412154acd5/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-6-foto.jpg, https://img-global.cpcdn.com/steps/5910eacd6f8b3c3c/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-6-foto.jpg] | 7 Tambahkan udang cincang,aduk. Bentuk dan kukus [Gambar: https://img-global.cpcdn.com/steps/9135a2ccd749b088/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-7-foto.jpg, https://img-global.cpcdn.com/steps/a5204f6e1d720007/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-7-foto.jpg, https://img-global.cpcdn.com/steps/5c05faa1ef4db354/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-7-foto.jpg] | 8 Sajikan [Gambar: https://img-global.cpcdn.com/steps/ac9b798afcdd938d/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-8-foto.jpg, https://img-global.cpcdn.com/steps/d7920d690fc13a4d/160x128cq70/dimsum-sehat-tanpa-tepung-langkah-memasak-8-foto.jpg]"
Tumis tempe kacang simple untuk diet,https://img-global.cpcdn.com/recipes/b6b27da778b43d6a/240x340cq50/tumis-tempe-kacang-simple-untuk-diet-foto-resep-utama.webp,100 gram tempe; 1 siung bawang merah; 3 buah Cabe merah panjang; Bawang bombai; 2 siung bawang putih; 1 ons atau ambil kacang panjang sedang 3; Garam; secukupnya Merica; Saori blackpaper; Kecap,"1 Cuci bersih kacang panjang lalu potong2, | 2 Potong dadu tempe | 3 Masukan bumbu ke ulekan yaitu merica secukupnya, bawang putih dan bawang merah ulek hingga alus | 4 Masukan bumbu kedalam wajan anti lengket lalu aduk2 hingga tercium wangi, dan beri air secukupnya | 5 Masukan tempe dan kacang aduk2 hingga merata | 6 Beri sedikit garam, Saori black paper secukupnya, sedikit kecap | 7 Setelah 5 menit masukan bawang bombai dan cabai aduk2 hingga merata hingga matang | 8 Letakan tumisan pada piring dan beri hiasan berupa tomat dan telur dan 3 sendok nasi [Gambar: https://img-global.cpcdn.com/steps/d6a052661f1ca219/160x128cq70/tumis-tempe-kacang-simple-untuk-diet-langkah-memasak-8-foto.jpg]"
