Judul,URL,Bahan,Langkah
Steak Ayam Lemon Madu (Eat Clean Series),https://cookpad.com/id/resep/1419994-steak-ayam-lemon-madu-eat-clean-series,"1/2 kg daging dada ayam tanpa tulang; 1/2 buah perasan jeruk lemon untuk mencuci ayam; Bumbu Marinate:; 1/2 buah perasan jeruk lemon; 2 sdm minyak zaitun; 3 sdm Madu; 1/4 sdt garam; secukupnya lada putih; 1/2 siung  bawang bombay, cincang halus, sangrai sebentar; 5 siung bawang putih cincang halus,separuh di sangrai (optional); Sayuran Pelengkap :; 1 buah tomat; secukupnya daun lettuce; 4 buah kentang","1
    



Kucuri daging ayam dengan sedikit air lemon, diamkan sebentar kemudian cuci dengan air bersih. Tekan tekan daging ayam dengan tissue agar tidak terlalu lembab. Potong tipis daging ayam sesuai dengan ketebalan yang diinginkan. Sayat sayat daging agar bumbu marinate meresap. | 2
    



Campurkan semua bumbu marinate. Aduk rata. Masukkan daging ayam campurkan secara merata dengan tangan, terutama di bagian sayatan daging. Diamkan paling sebentar 30 menit | 3
    



Siapkan kentang, saya olah seperti yang telah saya tulis dalam resep ""Easy Healthy Yummy Breakfast Idea"" | 4
    



Setelah minimal 30 menit, kita panggang ayam di teflon dengan api kecil, tidak usah menggunakan minyak karena sudah ada minyak zaitun dalam bumbu marinate. Panggang sampai bewarna kecokelatan atau matang di kedua sisi. Kemudian sisihkan | 5
    



Siapkan sayuran pelengkap, kentang, steak ayam dalam piring. | 6
    



Panaskan atau masak sebentar sisa bumbu marinate. Kemudian tuangkan diatas ayam. | 7
    



Steak ayam lemon madu siap dihidangkan 😋"
Bala bala Oatmeal Clean eating,https://cookpad.com/id/resep/14034644-bala-bala-oatmeal-clean-eating,4 sdm oatmeal instan; 1 buah wortel iris korek api; 4 lembar kol iris; 1 batang daun bawang; Bumbu halus; 2 bawang putih; secukupnya Merica; secukupnya Garam,"1
    



Campur semua bahan jadi satu tambahkan air secukupnya aduk rata lalu pan di teflon dengan api kecil"
Chicken steak (menu diet/clean eating),https://cookpad.com/id/resep/9595903-chicken-steak-menu-dietclean-eating,200 gr ayam kampung fillet; Brokoli; Wortel; Slada; Kol merah; Mayonaise; Garam bila diperlukan; Lada (sesuai selera); Margarin,"1
    



Rebus ayam sebentar sampai setengah matang, tiriskan. Sampai tdk mengandung air, lalu masak dg teflon dan api kecil bs tambahkan margarin sedikit, beri sdkt sj garam dan lada. Jgn masak terlalu lama / gosong. | 2
    



Rebus/kukus brokoli dan wortel jgn terlalu lama. Bisa Tambahkan garam sejumput sedikit sja jika ingin ada rasa sedikit. Lebih sehat tdk menggunakan. | 3
    



Iris tipis kol dan slada untuk. Bikin salad nya. | 4
    



Tata semuanya dipiring saji, bisa tambahkan mayonaise dan siao dinikmati."
Clean Eating Aini'Cooking #2,https://cookpad.com/id/resep/23944711-clean-eating-ainicooking-2,1 buah wortel kecil potong dadu; 1 buah jagung lalu serut; 1 buah tomat potong jadi 6 bagian; 1 buah timun kecil potong-potong; 3 lembar sawi putih potong-potong; 1 butir telor rebus setengah mateng; Secukupnya Kewpie wijen sangrai,"1
    



Siapkan semua siapkan semua bahan, cuci bersih lalu potong-potong seperti dalam keterangan diatas. | 2
    



Didihkan air lalu rebus wortel 3 menitan, lalu angkat dan tiriskan. | 3
    



Didihkan air lagi lalu rebus jagung 3 menitan, lalu angkay dan tiriskan. | 4
    



Rebus telur kurang lebih 7 menitan agar teksturnya nikmat, lalu rendam air dingin atau air es beberapa saat, kemudian kupas. | 5
    



Plating diatas piring semua bahan tadi, lalu tambahkan kewpie wijen sangrai."
Clean Eating Aini'Cooking #4,https://cookpad.com/id/resep/23961936-clean-eating-ainicooking-4,Secukupnya ayam yang telah dimarinasi semalaman; secukupnya Brokoli; secukupnya Wortel; 3 Bawang merah iris tipis; 1 bawang putih iris tipis; 3 cabe rawit iris tipis; secukupnya Blue band; Bumbu marinasi ayam; Secukupnya saus tiram; Secukupnya lada bubuk; Secukupnya kecap manis; Secukupnya saus sambal; Secukupnya bawang bombai potong-potong; Secukupnya totole; secukupnya Disini aku tambahin tepung sajiku,"1
    



Rebus wortel dan brokoli lalu tiriskan. | 2
    



Panaskan blue band lalu | 3
    



Tumis bawang merah bawang putih dan cabai hingga harum, lalu masukkan ayam marinasi kemudian tumis hingga matang dengan api sedang. | 4
    



Jika sudah matang, angkat lalu sajikan."
Tumis Ayam Paprika (DIET/EAT CLEAN),https://cookpad.com/id/resep/14873336-tumis-ayam-paprika-dieteat-clean,"250 gr Dada Ayam Fillet; 1 buah Paprika; 3 siung bawang putih cincang; 5 siung bawang merah cincang; 1/2 bawang bombay iris tipis; Olive oil; 1 sdt saos Tiram; secukupnya Garam himayala, merica; 1/2 jeruk nipis","1
    



.Cuci ayam lalu beri perasan jeruk nipis diamkan sebentar. Tumis bawang bombay hingga agak layu, lalu tumis bawang putih dan merah hingga harum lalu masukan ayam sampai setengah matang (berubah warna). | 2
    



Masukkan bumbu saos tiram, garam dan merica. Aduk hingga rata. Masukkan paprika lalu tumis sebentar. Koreksi rasa. Voilaaaaa jadi deh menu diet sehat kita.Untuk karbonya aku lagi pengen pakai Quinoa 4 sendok makan (80-100 gr)"
Diet/clean food Udang Pedas manis,https://cookpad.com/id/resep/9651128-dietclean-food-udang-pedas-manis,"1/2 kg udang (buang kulitnya); Bumbu tumis/halus; 3 siung bawang merah; 1 siung bawang putih; 2 buah cabe besar; 10 buah cabe kecil(skip kalau tidak suka pedas); Sedikit merica; Sedikit ketumbar; 2 lembar daun jeruk; Penyedap rasa, gula dan kecap","1
    



Bersihkan udang, pisahkan dengan kulitnya | 2
    



Ulek bumbu halus, tumis menggunakan teflon tambahkan sedikit air, tumis sampai agak kering masukan penyedap, gula, kecap. | 3
    



Setelah kering tambahkan sedikit air, lalu masukan udang ke dalam bumbu tumis. | 4
    



Koreksi rasa, siap dihidangkan"
Asem Asem Ayam Tahu (Eating Clean ala Anggi),https://cookpad.com/id/resep/13889137-asem-asem-ayam-tahu-eating-clean-ala-anggi,"Bahan Utama :; Sepotong dada ayam tanpa tulang, potong dadu; Sepotong tahu putih, potong kotak/persegi panjang; 250-300 ml air (sesuaikan selera); Bumbu Iris/Potong/Utuh :; 3 buah cabe rawit hijau, iris; 2 lembar daun jeruk; 2 siung bawang merah, iris; 1 siung bawang putih, iris; 1 buah tomat hijau, potong; 1 buah tomat merah, potong; Bumbu Cemplung :; 1/3-1/2 sdt gula; 1/3-1/2 sdt garam","1
    



Siapkan bahan-bahannya ya... Seperti foto di bawah ini. | 2
    



Didihkan air, masukkan potongan ayam. Masak sampai ayam berubah warna jadi putih. | 3
    



Masukkan tahu aduk rata. Masukkan bawang putih, bawang merah, cabe dan tomat, aduk rata. Masukkan gula dan garam. | 4
    



Aduk rata, koreksi rasa. Masak sampai matang/kuah menyusut. | 5
    



Siap untuk disajikan."
Gindara Sambal Matah (clean eat),https://cookpad.com/id/resep/5156920-gindara-sambal-matah-clean-eat,5 siung bawang merah; 2 buah cabe merah; 4 buah cabe rawit (disesuaikan); 1/4 buah bawang bombay; 1/2 buah tomat; 2 buah jeruk nipis; 1 sdt olive oil; 1 potong ikan gindara (fillet),"1
    



Balur perasan jeruk nipis (1/2 buah) ke ikan gindara dan diamkan selama 30 menit. (bagi yang ingin tambah garam juga boleh, tp karna saya lg no salt jd garam di skip) | 2
    



Sambil menunggu, rebus jagung hingga matang. Dan untuk sambal matah, masukkan smua bahan (bawang, perasan jeruk nipis, cabe dan tomat) ke dalam mangkok dan aduk. Tambahkan olive oil 1sdt. | 3
    



Goreng ikan dengan 1sdm olive oil hingga warna kecoklatan. | 4
    



Angkat Ikan dan letakkan di atas piring, kemudian sisa minyak tumisan ikan di tuang ke dalam sambal matah yang sudah dicampur sebelumnya. | 5
    



Aduk rata sambal matah lalu tuangkan ke atas ikan gindara. Jagung rebus di parut dan di susun bersama. Kenyang. Sehat dan Enak! Selamat mencoba :)"
Bakso Ayam Kuah (Menu Eat Clean 🥦),https://cookpad.com/id/resep/6456264-bakso-ayam-kuah-menu-eat-clean,"1 porsi bakso ayam kukus; 1 ikat sawi hijau (bisa diganti sayuran lainnya); 1 siung bawang putih; 1/4 buah bawang bombay; 1 sdt merica bubuk; 1 sdm minyak wijen; 1/2 sdt garam (opsional, bisa di skip yaa); 500 ml air","1
    



Resep bakso ayam bisa dilihat di Resep Bakso Ayam Kukus (Menu Eat Clean) | 2
    



Siapkan sayuran dan bumbu. Cuci bersih sawi hijau dibawah air mengalir, potong2 sesuai selera. Geprek bawang putih, bawang bombay di iris/cincang kasar. | 3
    



Rebus air hingga mendidih. Masukkan bakso ayam, bawang putih dan bawang bombay. Setelah mendidih segera masukkan sawi hijau, minyak wijen dan garam. Masak 5 menit, matikan api."
