Judul,URL,Bahan,Langkah
"Nasi Tim Telur, Ayam, Jamur",https://cookpad.com/id/resep/23943364-nasi-tim-telur-ayam-jamur,Bahan Nasi:; 2 sachet Beras Porang (saya pakai fukumi); 100 ml air panas (biar tekstur nasinya pas untuk nasi tim); Sejumput garam & kaldu jamur; Bahan Isian:; 100 gr dada ayam tanpa kulit; 50 gr jamur kancing; 1 butir telur rebus; Bahan Marinasi:; 1 siung bawang putih; 1/2 sdm air jahe (dari 1 sdt jahe parut campur air); 1 sdm saos tiram; 1 sdm kecap manis; 1/2 sdm kecap asin; 1 sdt minyak goreng; 1/2 sdt bawang goreng; 1/4 sdt kaldu jamur; Sejumput garam; Pelengkap:; 1/2 sdt bawang goreng; sejumput daun bawang,"1
    



Campur Beras Porang Fukumi dengan garam & kaldu jamur lalu seduh dengan air panas. Aduk-aduk, tutup wadah dan biarkan 20 menit. | 2
    



Potong dada ayam & jamur, campur dengan bumbu marinasi. Diamkan minimal 10 menit. | 3
    



Bagi telur, nasi Porang, ayam & jamur jadi 2 bagian yang sama. | 4
    



Lalu tata di wadah dengan urutan telur, ayam & jamur, lalu terakhir nasi Porang. | 5
    



Tekan sampai padat, lalu tutup dengan aluminium foil. Kukus dengan api sedang kurleb 20-25 menit. | 6
    



Angkat dan sajikan. Taburi dengan bawang goreng dan daun bawang."
Steak tempe rendah kalori,https://cookpad.com/id/resep/14834429-steak-tempe-rendah-kalori,1/2 tempe daun; 6 sdm ayam giling; 1 buah telur ayam; 2 sdm tepung tapioka; 1 sdm tepung maizena; 3 sdt bawang putih bubuk; 2 sdm gula pasir; 3 sdm garam (sesuai selera); 1 sdm lada putih bubuk; 1 biji pala di parut; 1 sdt minyak olive oil; Bumbu steak; 5 sdm saos tiram; 4 sdm saos tomat abc; 3 sdm gula pasir; 1.5 sdm garam; 1 sdt lada hitam bubuk; 1 buah bawang bombay iris; 8 buah jamur champion mini di iris; 3 buah jamur kuping di iris,"1
    



1/2 tempe daun di potong2 kecil, lalu kukus sampai melunak sekitar 10 menit. Setelah di angkat selagi panas masukan pada wadah lalu uleg sampai halus. | 2
    



Masukan ayam giling dan telur pada tempe yang telah halus. Aduk hingga rata. Tambahkan tepung maizena dan tapioka kembali aduk hingga rata membentuk tekstur yang menyatu. | 3
    



Tambahkan bumbu penyedap rasa. Saya menggunakan garam, gula,lada dan biji pala saja. Bilamana mau menggunakan royco juga bole. Tapi saya tidak menggunakan msg. | 4
    



Bentuk adonan yang sudah menyatu menjadi bulatan2. Saya bentuk agak sedikit besar karena porsi 1 x makan tanpa nasi. Setelah di bulatkan lalu pipihkan. | 5
    



Didihkan air kembali pada kukusan. Jangan lupa oleskan minyak pada wajan kukusan agar saat di kukus tidak menempel. Taruh bulatan2 adonan yang di pipihkan untuk siap di kukus | 6
    



Kurang lebih 5-10 menit di kukus, warnanya akan berubah menjadi putih dan masih lunak. Angkat wajan kukusan dan angin2kan saja. Sambil membuat adonan bumbu steaknya. | 7
    



Tumis bawang bombay hingga harum, masukan jamur kuping dan jamur camphion(saya adanya jamur camphion mini). Tuangkan saos tiram, saos tomat tumis hingga layu dan berikan air masak hingga mendidih. Berikan gula, garam dan lada sesuai selera. Setelah rasanya pas. Aduk tepung maizena dengan air lalu masukan pada adonan bumbu agar mengental. | 8
    



Kembali ke steak tempe nya. Sediakan teflon. Oleskan minyak olive oil dengan kuas pada atas teflon.. panaskandan taruh adonan tadi guling2kkan hingga warnanya ada tanda2 grill. Bilamana sudah cukup ada coklat keemasan angkat dan sajikan. Steak tempe langsung di banjur dengan saosnya. Rasanya seperti kornet di dalamnya yummy!"
Garlic Bread with Cheese,https://cookpad.com/id/resep/558028-garlic-bread-with-cheese,"1 buah roti baguette/ roti Perancis/ roti tongkat ukuran sedang; secukupnya Butter, lelehkan; secukupnya Bawang putih bubuk; secukupnya Keju quick melt (saya pakai Kraft), parut; secukupnya Parsley kering","1
    



Potong- potong roti setebal 2 cm, sisihkan. | 2
    



Olesi permukaan roti dengan butter, lalu taburi dengan bawang putih bubuk, keju dan parsley. | 3
    



Panggang dalam oven suhu 230 selama 5 menit (sampai keju leleh dan permukaan roti menjadi kering dan crispy). Sajikan selagi hangat. | 4
    



Note: jika tidak ada bawang putih bubuk, bisa menggunakan bawang putih yg dihaluskan."
Creamy Cajun Chiken Pasta,https://cookpad.com/id/resep/17156613-creamy-cajun-chiken-pasta,50 gr pasta; 100 gr dada ayam filet; 1 siung bawang putih besar; 1/2 bawang bombay; 1/2 buah tomat besar; 2 Sdm bumbu cajun; 100 ml susu uht; 1/2 Sdm tepung maizena; Parsley kering; secukupnya Air; secukupnya Bubuk cabe; 2 Sdm minyak goreng,"1
    



Potong dadu dada ayam filet, marinasi dgn bumbu cajun | 2
    



Rebus pasta selama 4 menit dan beri air rebusan sedikit garam. Tiriskan | 3
    



Masak ayam setengah mateng | 4
    



Kemudian tambkan, bawang pth, bawang Bombay dan tomat. Tumis hingga harum dan matang | 5
    



Tuang susu uht, beri bubuk cabe dan bumbu cajun secukupnya | 6
    



Setelah mendidih, beri tepung maizen. Masak hingga kuah mengental. Jika dirasa terlalu kental bisa ditambah air rebusan pasta tadi. Tes rasa | 7
    



Tuang pasta kedalam saus creamynya | 8
    



Aduk rata. Beri taburan parsley kering"
Banana Oat Shake,https://cookpad.com/id/resep/779619-banana-oat-shake,220 ml air dingin; 3 sendok makan Queker OatmealQuick cook (Saya pake yang warna biru); 2 sendok makan madu murni; 1/2 potong pisang,"1
    



Letakan semua bahan dalam blender. Dan blender hingga bahan-bahan di atas tercampur sempurna"
Japchae Shirataki,https://cookpad.com/id/resep/10944873-japchae-shirataki,"Mie; 200 gr / 1 bungkus shirataki noodle; 4 sdm kecap asin (yamasa); 1 sdm gula; 1 sdm minyak wijen; 1/8 sdt lada hitam; 1/2 sdm bawang putih cincang; Daging; 100 gr sapi komagire/sukiyaki; secukupnya saus bulgogi, lada hitam, sedikit garam; Bahan lain; 1 batang Wortel potong korek; 2 batang daun bawang potong ukuran 2 ruas jari; 8 gr jamur kuping kering / 2 jamur shitake; 1/2 Paprika merah potong panjang; 1/2 bawang bombai potong panjang; 2 telur kecil kocok lepas dengan garam dan lada putih; Secukupnya minyak goreng untuk menumis sayur; Secukupnya Wijen sangrai","1
    



Marinasi daging dengan saus bulgogi campuran dengan irisan daun bawang bagian putih. | 2
    



Shirataki buang air dari kemasan, cuci dan bilas, rebus dengan air mendidih selama 2 menit, tiriskan potong2 supaya tidak kepanjangan, aduk dengan kecap, gula, minyak wijen, sisihkan. Jamur kuping rendam dengan air hingga lunak, potong tipis, buang bagian yang keras. | 3
    



Setelah semua bahan siap, siapkan pan anti lengket, dadar telur tipis, potong panjang. Kemudian dengan pan yang sama tumis bawang bombai sebentar saja supaya masih ada krenyes2nya, kemudian jamur, daun bawang, wortel, paprika bergantian dengan minyak dan beri sejumput garam. Terakhir tumis daging hingga matang dan air menyusut. | 4
    



Campur semua sayur tumisan, daging, shirataki, telur, wijen, aduk dengan tangan hingga rata, tes rasa. Siap disajikan menjadi makanan utama atau dosirak (bento ala Korea)"
Es Krim tanpa Krim,https://cookpad.com/id/resep/16751888-es-krim-tanpa-krim,Bahan Pisang:; 6 bh pisang; 1 sdm madu; Sejumput garam; Bahan Coklat:; 6 bh pisang; 2 sdm bubuk coklat; 1 sdm madu; Sejumput garam,"1
    



Es krim pisang: campur semua bahan pisang dan blend sampai halus, sisihkan. | 2
    



Es krim coklat: campur bahan coklat dan blend semua sampai halus, sisihkan. | 3
    



Taruh 2 adonan berdampingan di satu wadah lalu masukkan ke freezer."
Sup Bakso Tahu,https://cookpad.com/id/resep/15611179-sup-bakso-tahu,"1 potong tahu putih, potong2; 15 butir baso sapi


Baso Daging Sapi; 1 kentang, potong2; 1 wortel import, potong2; 5 kacang buncis, potong2; 3 lembar kol; 1 tangkai bawang daun, potong2; 1 batang seledri, iris; 2 siung bawang putih, geprek dan cincang; 750 ml air; Bumbu cemplung; 1 sdt garam; 1/2 sdt kaldu sapi bubuk; 1/2 sdt lada bubuk","1
    



Siapkan semua bahan.
Didihkan air, masukkan wortel dan bawang putih hingga wortel 1/2 matang. Masukkan kentang masak sebentar, | 2
    



Lalu masukkan tahu
Masukkan bakso,masak sebentar lalu masukkan buncis,




 

 





Baso Daging Sapi | 3
    



Beri garam, lada dan kaldu sapi. Masukkan kol, daun bawang dan daun seledri. Koreski rasa | 4
    



Angkat dan siap sajikan jangan lupa dengan taburan bawang goreng 😋




 

 





Bawang Goreng Tepung Beras"
Jus pepaya tomat rendah kalori,https://cookpad.com/id/resep/15480284-jus-pepaya-tomat-rendah-kalori,200 gram pepaya (sekitar 1 mangkuk) dipotong-potong; 2 buah tomat (sekitar 100 gr) dipotong-potong; 1 botol yakult; 1 sdm madu; 250-300 ml air matang,"1
    



Blender semua bahan sampai halus | 2
    



Setelah halus, tuang dalam gelas dan siap diminum"
Kol gulung isi kepala udang rendah kalori,https://cookpad.com/id/resep/10897929-kol-gulung-isi-kepala-udang-rendah-kalori,Bahan adonan :; 100 gr kepala udang yang sudah dibersihkan; 8 sdm tepung tapioka; 3 sdm tepung terigu; secukupnya Air; Bumbu halus :; Lada bubuk/merica; 2 siung bawang putih; Secukupnya garam; Kulit :; 10 lembar daun kol/kubis,"1
    



Siapkan bahan-bahan. Siapkan wadah, beri air sedikit lalu masukkan kepala udang. Rebus kepala udang yang sudah dibersihkan hingga mendidih menggunakan api sedang. | 2
    



Jika sudah mendidih, matikan api. Tunggu hingga sedikit dingin. Sambil menunggu kepala udang dingin, buat bumbu halus. Haluskan semua bahan bumbu halus. | 3
    



Jika kepala udang sudah dingin, sisihkan kepala udang dari air rebusannya. Masukkan bumbu halus ke dalam air rebusan kepala udang. Masak hingga mendidih dengan api sedang. | 4
    



Haluskan udang. Lalu taruh diwadah. | 5
    



Jika bumbu halus sudah mendidih, matikan api. Biarkan hingga hangat. | 6
    



Masukkan tepung tapioka dan tepung terigu sedikit demi sedikit ke dalam wadah kepala udang, aduk-aduk hingga rata. | 7
    



Masukkan bumbu halus yang telah dididihkan tadi ke dalam wadah. | 8
    



Aduk rata hingga adonan kalis. Sisihkan adonan tersebut. | 9
    



Cuci bersih kol. Lalu rebus kol hingga kol lunak. Lalu tiriskan. | 10
    



Sebelum menggulung kol, panaskan kukusan selama 15menit. | 11
    



Sambil menunggu kukusan panas, Ambil 1 lembar kol, lalu beri sedikit adonan diatasnya. Gulung. lakukan hingga lembaran kol rebus habis. Sisihkan. | 12
    



Jika kukusan sudah panas, letakkan kol yang telah digulung ke dalam panci kukusan. Kukus selama 15menit. | 13
    



Setelah 15 menit, ambil kol gulung dari kukusan. Tiriskan sebentar. | 14
    



Kol gulung siap dihidangkan."
