Judul,URL,Bahan,Langkah
Jus Mangga Melon Chia Seed,https://cookpad.com/id/resep/13318487-jus-mangga-melon-chia-seed,1 bh mangga; 200 gr melon; 1 sdt chia sheed,"1
    



Siapkan bahan-bahannya. | 2
    



Kupas mangga dan melon lalu dipotong-potong sedang. Rendam chia seed dalam air sisihkan. | 3
    



Siapkan juicer masukkan buah-buahan kedalam juicer lalu masukkan dalam gelas yang sudah berisi chia seed aduk rata. Siap dinikmati."
Sate Ayam Sehat,https://cookpad.com/id/resep/12346909-sate-ayam-sehat,250 gr Daging ayam (Di fillet); 1 bh Jeruk nipis; 1 sdt Garam; Secukupnya Kecap manis; Bumbu Dapur/Kacang :; 150 gr Kacang tanah (haluskan); 4 siung Bawang merah; 2 siung Bawang putih; 1 bh Cabe merah; 1/2 sdt Garam; 2 lmbr Daun jeruk purut; 1/4 sdt Merica bubuk; 2 bh Kemiri (Bakar); 1 ruas Jahe (Bakar); 2 sdm Kecap manis; 1 bh Gula merah; 3 sdm Minyak goreng; Secukupnya Air mineral; Bahan Pelengkap :; 5 bh Cabe rawit (Iris tipis); 2 siung Bawang merah (Iris tipis); Bahan Tambahan :; Lontong/Nasi putih; Secukupnya Tusuk sate; Secukupnya Arang kayu nangka (jika ada),"1
    



Cuci bersih daging ayam dan bumbu dapur lainnya. Kemudian iris daging ayam sesuai selera. Remas2 dengan jeruk nipis secukupnya (agar tidak amis). Diamkan sekitar 15 mnt. | 2
    



Sisipkan daging ke tusuk sate, kemudian olesin kecap manis, garam. Bakar di kompor pemanggangan/bara arang. Bolak-balik dan olesin berkali-kali hingga matang & bumbu kecap meresap. | 3
    



Haluskan bumbu dapurnya (boleh di uleg/di blender). Setelah halus, tumis bumbu tersebut dengan minyak goreng secukupnya hingga harum. | 4
    



Masukkan kacang halus, kecap dan air mineral secukupnya hingga bumbu tumisnya mengental. | 5
    



Jika sate telah matang kecoklatan, siram dengan bumbu kacang dan taburkan dengan irisan bumbu pelengkap. Hidangkan Sate Ayam dengan lontong/nasi putih."
Bubur oat,https://cookpad.com/id/resep/14083929-bubur-oat,5 SDM oat menggunung sedikit; 4 SDM susu bubuk; 1 SDM kurma lemgket; 200 ml air,"1
    



Tuang oat ke wadah,n susu bubuk..aduk rata bahan kering | 2
    



Masak air sampai mendidih.. tuangkan ke atas oat.. | 3
    



Aduk sedikit demi sedikit.. tambahkan kurma lengket..biar gak pakai gula.. aduk lagi..tambahkan parutan keju kalo mau"
Healthy Shirataki Japan Noodle,https://cookpad.com/id/resep/13211375-healthy-shirataki-japan-noodle,1 pak shirataki noodle; 5 lembar besar iceberg lettuce; 1 telur ayam kampung; Sejumput wijen sangrai,"1
    



Rebus mie dalam mie mendidih sampai mie melunak. Sambil menunggu mie empuk, campurkan bumbu-bumbu pelengkap. | 2
    



Angkat mie & campur dengan bumbu. Aduk rata. Siapkan iceberg lettuce, potong memanjang. | 3
    



Rebus lettuce, lalu masukkan telur. Rebus sebentar saja, terlalu lama & jangan aduk telur. | 4
    



Sisihkan dahulu kuning telur setengah matang. Tiriskan lettuce & campurkan ke mie shirataki. Aduk rata. Lalu tata telur, nori yg diiris panjang (ada dalam kemasan pack mie), dan taburi dengan wijen sangrai. Nikmati selagi hangat."
Tahu sehat tanpa minyak,https://cookpad.com/id/resep/12548228-tahu-sehat-tanpa-minyak,4 tahu kuning; 4 sendok makan Saos teriyaki kurleb; 3 siung bawang putih; Secukupnya bubuk jamur totole; secukupnya Gula jawa; Tepung maizena 1/2 sdm dicairkan; 1 1/2 gelas Air kurleb; secukupnya Lada; 1 lbr Daun bawang,"1
    



Potong tahunya bentuk segitiga / kotak (suka2, kalo saya segitiga niatnya ngirit hehe) | 2
    



Masukkan smua tahu lgs ke teflon (tanpa minyak). Bolak - balik tahu sampai coklat (saya sukanya agak gosong2). Setelah tahu dirasa matang, angkat tahu. | 3
    



Masukkan saos teriyakinya, bawang putih (yang sudah diulek), larutan tepung maizena, gula jawa secukupnya (ini suka2 yaa..kalo yg suka manis berarti bsa agak banyak gulanya, berhubung saya ga terlalu suka manis, jadi sedikit pakenya), jamur totole bubuk, lada bubuk, tambahkan air... Tunggu sampai mengental, lalu masukkan tahunya... diamkan dan kadang di bolak balik tahunya, sampai dirasa cukup mengental, sebelum diangkat tabur irisan daun bawangnya terlebih dahulu...diamkan sejenak...angkat deh | 4
    



Tralaaaa....tahu sehat saus teriyaki tanpa minyak siap di sajikan..."
Menu Sarapan Diet: Oatmeal Bakso Jamur,https://cookpad.com/id/resep/12827618-menu-sarapan-diet-oatmeal-bakso-jamur,3 sdm oatmeal; 5 bakso wortel homemade; Jamur; 1 daun bawang (tanpa batang); 2 bawang putih; secukupnya Cabe hijau; 250 ml air; secukupnya Garam dan kaldu jamur.non msd,"1
    



Siapkan bahan | 2
    



Masukkan air di wajan, tuang oatmeal | 3
    



Masukkan bawang putih, bakso, dan jamur | 4
    



Masukkan daun bawang dan cabe hijau | 5
    



Diaduk | 6
    



Siap disantap"
Cemilan : Oatmeal Crepes Chicken Vegies,https://cookpad.com/id/resep/14455127-cemilan-oatmeal-crepes-chicken-vegies,4 sdm oatmeal (blender halus); 1 butir telur; Sepotong dada ayam; Seikat sawi hijau; 1 buah wortel; Keju cheddar (parut); 4 iris tomat; 1 siung bawang putih; secukupnya Kaldu jamur; 1 sdt Merica; Air,"1
    



Potong-potong ayam. Dadu. Kecil saja. | 2
    



Masukan oatmeal ke dalam wadah, tambahkan telur, air dan kaldu. | 3
    



Potong potong sayuran sesuai selera. | 4
    



Didihkan air di atas teflon masukkan bawang. Sampai mewangi. | 5
    



Masukan wortel dan potongan ayam. Aduk-aduk hingga ayam matang | 6
    



Setelah itu tambahkan sawi. Masukan kaldu dan merica. Cek rasa. Udah pas sisihkan | 7
    



Sekarang giliran bikin Crepes dg 1 sendok sayur. Tuang ditelfon secara tipis. | 8
    



Isi Crepes dengan isian yg sudah dimasak tadi, tomat, keju dan beri saos. Siap santap. Eh foto dulu deh"
Ketoprak mi lethek singkong sehat kolesterol low carb bumbu pecel,https://cookpad.com/id/resep/15896633-ketoprak-mi-lethek-singkong-sehat-kolesterol-low-carb-bumbu-pecel,100 gr mi lethek; emping; minyak kelapa; telur ceplok ghee (telur yang diceplok dengan minyak baik); 2 buah kentang; 50 gram tauge; 100 gram tahu; mentimun; bumbu ketoprak dari bumbu pecel; 100 gram bumbu pecel aktivasi (kacang sudah direndam 8 jam sebelum diolah biar ga bikin mual buat yang gerd); 50 ml air; 1 sdm kecap manis; 1 sdm gula semut,"1
    



Siapkan semua bahan rendam mi lethek di air hangat beri sedikit minyak. ceplok telur dengan minyak baik (saya pakai ghee). blansir tauge dan kukus kentang lalu potong | 2
    



Blender sambel pecel aktivasi ditambahkan dengan air 50 persen dari berat sambel pecel, beri gula semut dan kecap manis | 3
    



Semprot emping dengan minyak, oven emping 150 c 10 menit bolak balik | 4
    



Plating dan tata semua bahan siram dengan bumbu kacang"
Oat BerryBan (Healthy),https://cookpad.com/id/resep/11541232-oat-berryban-healthy,2 sdm Quaker Oatmeal instan warna merah; 100 ml air panas; Secukupnya nata de coco; Secukupnya buah strawberry; Secukupnya madu (optional); 1 buah pisang Sunpride (optional),"1
    



Seduh Quaker dengan sedikit air panas lalu aduk sampe rata | 2
    



Lalu campurkan nata de coco, madu, strawberry dan pisang. Selamat menikmati."
Jus Buah Sehat,https://cookpad.com/id/resep/11207710-jus-buah-sehat,Jus Apel:; secukupnya Apel malang; 1 ruas jahe; 1 ruas kunyit; Jus Jeruk:; peras Jeruk; 1 ruas jahe; 1 ruas kunyit,"1
    



Siapkan semua bahan bahannya. | 2
    



Saya menggunakan juicer. Jadi tidak ada ampas yg tertinggal. Hasil perasannya pun tidak menyebabkan terjadinya antioksidasi. Sekali lagi maaf lupa kefoto 😂 | 3
    



Lihat warna jus nya kan. Biasanya jika membuat jus apel tanpa kunyit dan jahe, warna nya akan cepat coklat. Begitu juga jus jeruknya. Tapi ini tidak merubah warna asli jus nya. Rasanya pun begitu menyegarkan."
